Task,GraspType,Object,Reponses,Instruction
Hold,Lateral,Mug,7,How would you hold a mug?
Hold,MediumWrap,Mug,12,How would you hold a mug?
Hold,Tripod,Mug,0,How would you hold a mug?
Hold,Writing,Mug,0,How would you hold a mug?
Hold,Lateral,Newspaper,6,How would you hold the newspaper?
Hold,MediumWrap,Newspaper,6,How would you hold the newspaper?
Hold,Tripod,Newspaper,5,How would you hold the newspaper?
Hold,Writing,Newspaper,3,How would you hold the newspaper?
Hold,Lateral,Notepad,7,How would you hold a notepad?
Hold,MediumWrap,Notepad,5,How would you hold a notepad?
Hold,Tripod,Notepad,2,How would you hold a notepad?
Hold,Writing,Notepad,6,How would you hold a notepad?
Hold,Lateral,Onion,2,How would you hold an onion?
Hold,MediumWrap,Onion,12,How would you hold an onion?
Hold,Tripod,Onion,5,How would you hold an onion?
Hold,Writing,Onion,0,How would you hold an onion?
Hold,Lateral,Paintbrush,1,How would you hold a paintbrush?
Hold,MediumWrap,Paintbrush,0,How would you hold a paintbrush?
Hold,Tripod,Paintbrush,0,How would you hold a paintbrush?
Hold,Writing,Paintbrush,19,How would you hold a paintbrush?
Hold,Lateral,Pan,12,How would you hold a pan?
Hold,MediumWrap,Pan,4,How would you hold a pan?
Hold,Tripod,Pan,4,How would you hold a pan?
Hold,Writing,Pan,0,How would you hold a pan?
Hold,Lateral,Peach,0,How would you hold a peach?
Hold,MediumWrap,Peach,17,How would you hold a peach?
Hold,Tripod,Peach,2,How would you hold a peach?
Hold,Writing,Peach,0,How would you hold a peach?
Hold,Lateral,Pear,1,How would you hold a pear?
Hold,MediumWrap,Pear,18,How would you hold a pear?
Hold,Tripod,Pear,1,How would you hold a pear?
Hold,Writing,Pear,0,How would you hold a pear?
Hold,Lateral,Pencil,0,How would you hold a pencil?
Hold,MediumWrap,Pencil,0,How would you hold a pencil?
Hold,Tripod,Pencil,1,How would you hold a pencil?
Hold,Writing,Pencil,19,How would you hold a pencil?
Hold,Lateral,Pill,0,How would you hold a pill?
Hold,MediumWrap,Pill,0,How would you hold a pill?
Hold,Tripod,Pill,1,How would you hold a pill?
Hold,Writing,Pill,19,How would you hold a pill?
Hold,Lateral,Pliers,9,How would you hold pliers?
Hold,MediumWrap,Pliers,5,How would you hold pliers?
Hold,Tripod,Pliers,2,How would you hold pliers?
Hold,Writing,Pliers,4,How would you hold pliers?
Hold,Lateral,Plate,2,How would you hold a plate?
Hold,MediumWrap,Plate,3,How would you hold a plate?
Hold,Tripod,Plate,9,How would you hold a plate?
Hold,Writing,Plate,6,How would you hold a plate?
Hold,Lateral,Playing card,2,How would you hold a playing card?
Hold,MediumWrap,Playing card,4,How would you hold a playing card?
Hold,Tripod,Playing card,1,How would you hold a playing card?
Hold,Writing,Playing card,13,How would you hold a playing card?
Hold,Lateral,Potato,2,How would you hold a potato?
Hold,MediumWrap,Potato,14,How would you hold a potato?
Hold,Tripod,Potato,3,How would you hold a potato?
Hold,Writing,Potato,0,How would you hold a potato?
Hold,Lateral,Potato chip,0,How would you hold a potato chip?
Hold,MediumWrap,Potato chip,2,How would you hold a potato chip?
Hold,Tripod,Potato chip,2,How would you hold a potato chip?
Hold,Writing,Potato chip,16,How would you hold a potato chip?
Hold,Lateral,Quill,1,How would you hold a quill?
Hold,MediumWrap,Quill,0,How would you hold a quill?
Hold,Tripod,Quill,1,How would you hold a quill?
Hold,Writing,Quill,18,How would you hold a quill?
Hold,Lateral,Remote control,8,How would you hold a remote control?
Hold,MediumWrap,Remote control,7,How would you hold a remote control?
Hold,Tripod,Remote control,3,How would you hold a remote control?
Hold,Writing,Remote control,2,How would you hold a remote control?
Hold,Lateral,Rubik's cube,1,How would you hold rubik's cube?
Hold,MediumWrap,Rubik's cube,17,How would you hold rubik's cube?
Hold,Tripod,Rubik's cube,2,How would you hold rubik's cube?
Hold,Writing,Rubik's cube,0,How would you hold rubik's cube?
Hold,Lateral,Scalpel,5,How would you hold a scalpel?
Hold,MediumWrap,Scalpel,0,How would you hold a scalpel?
Hold,Tripod,Scalpel,3,How would you hold a scalpel?
Hold,Writing,Scalpel,12,How would you hold a scalpel?
Hold,Lateral,Scissors,4,How would you hold scissors?
Hold,MediumWrap,Scissors,3,How would you hold scissors?
Hold,Tripod,Scissors,7,How would you hold scissors?
Hold,Writing,Scissors,6,How would you hold scissors?
Hold,Lateral,Screw,1,How would you hold a screw?
Hold,MediumWrap,Screw,0,How would you hold a screw?
Hold,Tripod,Screw,3,How would you hold a screw?
Hold,Writing,Screw,16,How would you hold a screw?
Hold,Lateral,Screwdriver,9,How would you hold a screwdriver?
Hold,MediumWrap,Screwdriver,2,How would you hold a screwdriver?
Hold,Tripod,Screwdriver,6,How would you hold a screwdriver?
Hold,Writing,Screwdriver,3,How would you hold a screwdriver?
Hold,Lateral,Sheet of paper,1,How would you hold a sheet of paper?
Hold,MediumWrap,Sheet of paper,0,How would you hold a sheet of paper?
Hold,Tripod,Sheet of paper,2,How would you hold a sheet of paper?
Hold,Writing,Sheet of paper,17,How would you hold a sheet of paper?
Hold,Lateral,Spatula,8,How would you hold a spatula?
Hold,MediumWrap,Spatula,3,How would you hold a spatula?
Hold,Tripod,Spatula,3,How would you hold a spatula?
Hold,Writing,Spatula,6,How would you hold a spatula?
Hold,Lateral,Sponge,4,How would you hold a sponge?
Hold,MediumWrap,Sponge,6,How would you hold a sponge?
Hold,Tripod,Sponge,9,How would you hold a sponge?
Hold,Writing,Sponge,1,How would you hold a sponge?
Hold,Lateral,Spoon,5,How would you hold a spoon?
Hold,MediumWrap,Spoon,0,How would you hold a spoon?
Hold,Tripod,Spoon,1,How would you hold a spoon?
Hold,Writing,Spoon,12,How would you hold a spoon?
Hold,Lateral,Strawberry,1,How would you hold a strawberry?
Hold,MediumWrap,Strawberry,2,How would you hold a strawberry?
Hold,Tripod,Strawberry,15,How would you hold a strawberry?
Hold,Writing,Strawberry,2,How would you hold a strawberry?
Hold,Lateral,Syringe,6,How would you hold a syringe?
Hold,MediumWrap,Syringe,1,How would you hold a syringe?
Hold,Tripod,Syringe,7,How would you hold a syringe?
Hold,Writing,Syringe,5,How would you hold a syringe?
Hold,Lateral,Tennis ball,1,How would you hold a tennis ball?
Hold,MediumWrap,Tennis ball,16,How would you hold a tennis ball?
Hold,Tripod,Tennis ball,2,How would you hold a tennis ball?
Hold,Writing,Tennis ball,0,How would you hold a tennis ball?
Hold,Lateral,Thermometer,1,How would you hold a thermometer?
Hold,MediumWrap,Thermometer,0,How would you hold a thermometer?
Hold,Tripod,Thermometer,3,How would you hold a thermometer?
Hold,Writing,Thermometer,16,How would you hold a thermometer?
Hold,Lateral,Toothbrush,12,How would you hold a toothbrush?
Hold,MediumWrap,Toothbrush,0,How would you hold a toothbrush?
Hold,Tripod,Toothbrush,3,How would you hold a toothbrush?
Hold,Writing,Toothbrush,5,How would you hold a toothbrush?
Hold,Lateral,Tube,10,How would you hold a tube?
Hold,MediumWrap,Tube,5,How would you hold a tube?
Hold,Tripod,Tube,4,How would you hold a tube?
Hold,Writing,Tube,0,How would you hold a tube?
Hold,Lateral,Tweezers,0,How would you hold tweezers?
Hold,MediumWrap,Tweezers,0,How would you hold tweezers?
Hold,Tripod,Tweezers,1,How would you hold tweezers?
Hold,Writing,Tweezers,19,How would you hold tweezers?
Hold,Lateral,Vase,5,How would you hold a vase?
Hold,MediumWrap,Vase,15,How would you hold a vase?
Hold,Tripod,Vase,0,How would you hold a vase?
Hold,Writing,Vase,0,How would you hold a vase?
Hold,Lateral,Wallet,3,How would you hold a wallet?
Hold,MediumWrap,Wallet,9,How would you hold a wallet?
Hold,Tripod,Wallet,6,How would you hold a wallet?
Hold,Writing,Wallet,2,How would you hold a wallet?
Hold,Lateral,Walnut,1,How would you hold a walnut?
Hold,MediumWrap,Walnut,4,How would you hold a walnut?
Hold,Tripod,Walnut,12,How would you hold a walnut?
Hold,Writing,Walnut,3,How would you hold a walnut?
Hold,Lateral,Wine bottle,3,How would you hold a wine bottle?
Hold,MediumWrap,Wine bottle,17,How would you hold a wine bottle?
Hold,Tripod,Wine bottle,0,How would you hold a wine bottle?
Hold,Writing,Wine bottle,0,How would you hold a wine bottle?
